Id,Label,year,citations,research_fields,keywords,level,indegree,outdegree,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering
53e99a56b7602d97022bc23a,A truth maintenance system,1979,3043,Embedding | Course of action | Argument | Computer science | Artificial intelligence | Reason maintenance | Solver | Backtracking,truth maintenance system | computer programming | control | feedback | artificial intelligence,L3,4,0,4,4,0,0,0,0,0
53e99e0cb7602d97026d141c,Microcomputer playfulness development of a measure with workplace implications,1992,716,Knowledge management | Computer training | Psychology | Human computer interaction | Computer anxiety | Creativity | Microcomputer | Applied psychology,workplace implication | microcomputer playfulness,L3,25,7,32,10,16,0.11021,0.161154,3476.445497,0.053427
53e9aeddb7602d9703909e1e,Building bridges customisation and mutual intelligence in shared category management,1999,74,Mutual intelligibility | World Wide Web | Workgroup | Document management system | Computer science | Category management | Knowledge management | Vision document | Intelligibility communication,collaborative activity | customisation | real world setting | intelligibility problem | category structure | shared views | workgroup document management | document corpus | shared workspaces | people share document content | categorisation | document management | collaborative document use | document space | real world document practice | shared category management | mutual intelligibility,L3,0,8,8,16,16,0.119266,0.169461,0,0.142857
53e9978ab7602d9701f4bc9f,LisaLearning,1986,130,,first page,L3,4,6,10,16,15,0.110574,0.131603,175.081434,0.155556
53e99792b7602d9701f5444c,Spam,1998,574,,,L3,0,2,2,1,1,1,1,0,0
53e99796b7602d9701f5e8cf,Fuzzy Sets,1965,115077,,fuzzy set,L3,10,0,10,4,0,0,0,0,0.011111
53e99796b7602d9701f60952,Heuristic classification,1985,2070,,expert system | well structured problem | heuristic association | problem solving method | heuristic classification | routine problem | representation tool | direct association | classification reasoning | problem solving model,L3,12,0,12,4,0,0,0,0,0.121212
53e9979eb7602d9701f6acf0,Electronic Junk,1982,68,,,L3,11,0,11,1,0,0,0,0,0.172727
53e9979eb7602d9701f6b978,Engineering ontologies,1997,573,,engineering ontology,L3,3,1,4,6,3,0.444444,0.541667,0.5,0.25
53e9979eb7602d9701f6c8e2,Electronic shopping,1998,519,,electronic shopping,L3,1,3,4,10,18,0.090771,0.111893,536,0.25
53e9979fb7602d9701f6fbfd,Bagging predictors,1996,32018,,Aggregation | Bootstrap | Averaging | Combining,L3,6,0,6,0,0,0,0,0,0.133333
53e997a6b7602d9701f7a7b7,Contextual design,1999,257,,user centered framework | contextual design | hands on application | user interface | sample project | full day tutorial | conceptual design,L3,0,1,1,16,18,0.083732,0.092618,0,0
53e997a6b7602d9701f7b54e,Annotation technology,1999,276,,Annotation technology,L3,0,0,0,58,0,0,0,0,0
53e997aeb7602d9701f8aea1,Process modeling,1992,2651,,modeling | process modeling | analysis,L3,32,4,36,4,17,0.096514,0.126976,7874.36511,0.013492
53e997b2b7602d9701f91d6e,Maintaining Maintainability,1998,27,,key property | new model | maintainability | software evolution | related documentation | lifecycle cost | systemic view | empirical approach | important way | dynamics | metrics | source code | systems thinking | maintenance team | Maintaining Maintainability | maintenance process,L3,0,4,4,8,12,0.176113,0.202675,0,0
53e997b9b7602d9701f9d51b,Information extraction,1996,22,,information extraction,L3,5,1,6,1,0,0,0,0,0.2
53e997b9b7602d9701f9de95,Information Systems,1974,10,,Information Systems,L3,1,2,3,8,13,0.134635,0.147247,259,0
53e997b9b7602d9701f9ea68,Information visualization,1998,5,,information visualization,L3,0,3,3,1,16,0.097764,0.109418,0,0
53e997b9b7602d9701f9f171,Introducing LILOG,1991,2,,Introducing LILOG,L3,1,1,2,4,13,0.150029,0.177842,0,0
53e997bab7602d9701fa4498,Video abstracting,1997,483,,video abstracting,L3,0,1,1,0,1,1,1,0,0
53e997bab7602d9701fa4127,Visualizing Conversation,1999,562,,social structure | underlying social pattern | conversa tional topic | graphical interface | recorded chat | Visualizing Conversation | synchronous conver sation | Chat Circles | new member | key issue | persistent conversation,L3,0,2,2,1,17,0.127119,0.156223,0,0
53e997bdb7602d9701fabac9,Technology affordances,1991,2209,,technology affordances | ecological perspectives | human interface design | multi media | input output design,L3,6,1,7,16,3,0.454545,0.533333,31.85,0
53e997c1b7602d9701fac36e,Software visualization,1994,167,,software visualization,L3,0,0,0,16,0,0,0,0,0
