Source,Target,Type,Id,Label,Weight
53e9ace8b7602d97036c53ae,53e9ae4fb7602d970386a16e,Directed,152,,1
53e997a2b7602d9701f7365b,53e997a2b7602d9701f7365b,Directed,991,,1
53e997b2b7602d9701f940b6,53e9b1a3b7602d9703c2c1c0,Directed,1285,,1
53e997bab7602d9701fa1380,53e9b234b7602d9703cd1680,Directed,1583,,1
53e997c1b7602d9701fad5a5,53e9a082b7602d970296ce1b,Directed,1724,,1
53e997c6b7602d9701fb58ee,53e99867b7602d97020a3ee1,Directed,1885,,1
53e997c6b7602d9701fb58ee,53e9a5dbb7602d9702f04687,Directed,1906,,1
53e997c6b7602d9701fb58ee,53e9ae36b7602d970384d14c,Directed,1916,,1
53e997c6b7602d9701fb58ee,53e9b344b7602d9703e1c26b,Directed,1921,,1
53e997ccb7602d9701fbf62d,53e9b023b7602d9703a7eea6,Directed,2105,,1
53e997d1b7602d9701fc536b,53e9b310b7602d9703dda3a9,Directed,2151,,1
53e997d1b7602d9701fc536b,53e9b6eeb7602d97042826d4,Directed,2152,,1
53e997d7b7602d9701fcc959,53e9be79b7602d9704b38db2,Directed,2211,,1
53e997ddb7602d9701fd2f7d,53e9adbcb7602d97037bcf23,Directed,2410,,1
53e997e3b7602d9701fd81bf,53e9a408b7602d9702d20a8e,Directed,2509,,1
53e997e3b7602d9701fd81bf,53e9abe4b7602d970359e9d8,Directed,2513,,1
53e997e3b7602d9701fd81bf,53e9b0e6b7602d9703b60ec4,Directed,2517,,1
53e997e3b7602d9701fd81bf,53e9b130b7602d9703baea08,Directed,2518,,1
53e997e3b7602d9701fd81bf,53e9b37ab7602d9703e5a597,Directed,2521,,1
53e997e3b7602d9701fd81bf,53e9b761b7602d9704304215,Directed,2524,,1
53e997e3b7602d9701fd81bf,53e9be5db7602d9704b20001,Directed,2528,,1
53e997e3b7602d9701fd9492,53e99e38b7602d97026fd85d,Directed,2637,,1
53e997ecb7602d9701fea017,53e9a1eeb7602d9702af1247,Directed,2996,,1
53e997f1b7602d9701ff32bb,53e9ac63b7602d9703636b30,Directed,3351,,1
53e997f1b7602d9701ff32bb,53e99976b7602d97021b9b5e,Directed,3371,,1
53e997f1b7602d9701ff32bb,53e99e38b7602d97026fb575,Directed,3388,,1
53e997f1b7602d9701ff32bb,53e9a026b7602d970290d5f8,Directed,3395,,1
53e997f1b7602d9701ff32bb,53e9a0d8b7602d97029be45d,Directed,3399,,1
53e997f1b7602d9701ff32bb,53e9a210b7602d9702b147d9,Directed,3409,,1
53e997f1b7602d9701ff32bb,53e9a797b7602d97030d126a,Directed,3434,,1
53e997f1b7602d9701ff32bb,53e9aad1b7602d970344eebe,Directed,3450,,1
53e997f1b7602d9701ff32bb,53e9ac95b7602d970366c6c3,Directed,3464,,1
53e997f1b7602d9701ff32bb,53e9b32bb7602d9703dfa3e1,Directed,3481,,1
53e997f1b7602d9701ff32bb,53e9ba11b7602d9704611625,Directed,3508,,1
53e997f1b7602d9701ff32bb,5c80a9884895d9cbc6e745cc,Directed,3526,,1
53e997f4b7602d9701ff624e,53e99931b7602d9702171603,Directed,3647,,1
53e997f5b7602d9701ffc6f5,53e9b360b7602d9703e40d94,Directed,3979,,1
53e997f8b7602d970200127f,53e99b2bb7602d97023c3d9d,Directed,4042,,1
53e997f9b7602d970200280a,53e9a3d4b7602d9702ce50a5,Directed,4068,,1
53e997fcb7602d970200824a,5736958d6e3b12023e4ad8d0,Directed,4147,,1
53e997fcb7602d970200824a,53e99924b7602d970215cff3,Directed,4150,,1
53e997fcb7602d970200824a,53e99f11b7602d97027dd00e,Directed,4161,,1
53e99800b7602d9702010d0a,53e9a1c9b7602d9702ac04df,Directed,4484,,1
53e99800b7602d9702010d0a,53e998a9b7602d97020e224d,Directed,4487,,1
53e99800b7602d9702010d0a,53e99bc0b7602d970246b76d,Directed,4489,,1
53e99800b7602d9702010d0a,53e9a9a9b7602d970330625c,Directed,4495,,1
53e99800b7602d9702010d0a,53e9b7eeb7602d97043a0dc3,Directed,4501,,1
