Id,Label,year,citations,research_fields,keywords,level,indegree,outdegree,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering
53e9979bb7602d9701f66d44,Defeasible logic,2001,370,,newspaper story warning | reasonable person | contrary evidence | defeasible logic | theoretical approach | considerable research | local water supply | automated reasoning | million dollar | model reasoning | earlier reasoning,L3,1,1,2,9,0,0,0,0,0
53e99808b7602d970201a746,Computing with shapes,2001,29,Data mining | Computer science | Polyomino | Recursively enumerable language | Chomsky hierarchy | Computability | Theoretical computer science | Turing machine | Concatenation | Cone formal languages | Regular language,computability model | turing machine | shape grammar | correct computations square | current picture | specified polyomino | difficult task | adjoining polyominoes | picture language | sequencing mapping | chomsky hierarchy | interactive visualization | computer model,L3,0,0,0,16,0,0,0,0,0
53e9a9f0b7602d97033586b7,The Ape that Used E Mail Understanding E Communication Behavior Through Evolution Theory,2001,79,Cognitive science | Naturalness | Engineering | Schema psychology | Management science,computer mediated communication | social influences | media richness theory | evolution theory | biological influences,L3,0,0,0,58,0,0,0,0,0
53e9aa9cb7602d97034169ec,Predicting the use of web based information systems self efficacy enjoyment learning goal orientation and the technology acceptance model,2003,1768,Information system | Computer science | Social cognitive theory | Goal orientation | Technology acceptance model | Blackboard system | Knowledge management | Computer literacy | Human computer interaction | Dreyfus model of skill acquisition | Web application,Blackboard system | actual use | goal orientation | Web based class management system | Web based information system | computerized system | information system | important issue | important role | new technology | technology acceptance model | web based information system,L3,0,6,6,10,4,0.484848,0.619792,0,0.066667
53e9979bb7602d9701f6685f,Distance matters,2000,2846,,collaboration readiness | collocated work | noncollocated synchronous group collaboration | collaboration technology | distance matter | difficult work | remote work | information technology | common ground | collaboration technology readiness | effective distance work,L3,15,0,15,58,0,0,0,0,0.02381
53e9979eb7602d9701f6cad5,Elastic Systems,2001,5,,anthropological research | mulltimedia | work analysis | maritime instrumentation | adaptation,L3,0,0,0,16,0,0,0,0,0
53e997a2b7602d9701f77cfd,Competitive intelligence,2002,1,,,L3,0,1,1,58,1,1,1,0,0
53e997b2b7602d9701f927e2,Metamodelling Platforms,2002,165,,business process | corporate metamodelling platform | information technology | metamodelling concept | metamodelling platform | flexible metamodelling capability | business model | research issue | Metamodelling Platforms | corresponding information technology | fixed metamodels,L3,1,2,3,6,1,1,1,2,0
53e997b5b7602d9701f98243,Knowledge Management,2002,849,,Knowledge communities | Explicit knowledge | Communities of practice | Knowledge management | Organizational learning | Innovation | Knowledge Management | Knowledge creation | Tacit knowledge,L3,0,0,0,58,0,0,0,0,0
53e997b9b7602d9701f9ea6d,Information visualization,2002,717,,information visualization,L3,0,9,9,1,2,0.846154,0.909091,0,0.027778
