Source,Target,Type,Id,Label,Weight
53e9979bb7602d9701f66d44,53e9979bb7602d9701f66d44,Directed,0,,1
53e9aa9cb7602d97034169ec,53e9a0cab7602d97029b5f10,Directed,98,,1
53e9aa9cb7602d97034169ec,53e9a718b7602d9703050a38,Directed,102,,1
53e9aa9cb7602d97034169ec,53e9b5e0b7602d9704131314,Directed,108,,1
53e9aa9cb7602d97034169ec,53e9b7e7b7602d9704396a1b,Directed,110,,1
53e9aa9cb7602d97034169ec,53e9bc00b7602d9704860fc9,Directed,112,,1
53e9aa9cb7602d97034169ec,53e9bddbb7602d9704a8a319,Directed,113,,1
53e997a2b7602d9701f77cfd,53e9b4c3b7602d9703fde3cb,Directed,1014,,1
53e997b2b7602d9701f927e2,53e9a154b7602d9702a47f5d,Directed,1260,,1
53e997b2b7602d9701f927e2,53e9b61bb7602d9704172aca,Directed,1263,,1
53e997b9b7602d9701f9ea6d,53e9b409b7602d9703efbda7,Directed,1456,,1
53e997b9b7602d9701f9ea6d,53e9984bb7602d970207d0fa,Directed,1464,,1
53e997b9b7602d9701f9ea6d,53e99d4cb7602d9702603f23,Directed,1479,,1
53e997b9b7602d9701f9ea6d,53e9a5f6b7602d9702f24e19,Directed,1489,,1
53e997b9b7602d9701f9ea6d,53e9a75fb7602d9703094cd6,Directed,1492,,1
53e997b9b7602d9701f9ea6d,53e9abcfb7602d9703582f2e,Directed,1494,,1
53e997b9b7602d9701f9ea6d,53e9aca1b7602d9703679d58,Directed,1496,,1
53e997b9b7602d9701f9ea6d,53e9b5f4b7602d970414963c,Directed,1515,,1
53e997b9b7602d9701f9ea6d,53e9b839b7602d97043f736a,Directed,1519,,1
53e997bab7602d9701fa16be,53e997bab7602d9701fa16be,Directed,1587,,1
53e997bab7602d9701fa16be,53e997f1b7602d9701ff33b9,Directed,1589,,1
53e997bab7602d9701fa16be,53e99c3db7602d97024eb26d,Directed,1590,,1
53e997bab7602d9701fa16be,53e9b520b7602d9704053b4d,Directed,1596,,1
53e997bdb7602d9701fa6bfa,53e99abdb7602d9702338b0a,Directed,1615,,1
53e997ddb7602d9701fd799d,53e9adb6b7602d97037b4c14,Directed,2497,,1
53e997e3b7602d9701fd92d6,53e998d5b7602d970210fb40,Directed,2625,,1
53e997e3b7602d9701fd92d6,53e9a6c3b7602d9702ff8d3e,Directed,2626,,1
53e997e3b7602d9701fd9ee4,53e9aadfb7602d970345ec29,Directed,2662,,1
53e997e3b7602d9701fd9ee4,53e9bc1bb7602d9704885346,Directed,2664,,1
53e997f1b7602d9701ff150d,53e997f1b7602d9701ff150f,Directed,3271,,1
53e997f1b7602d9701ff33b9,53e99d1bb7602d97025d0a8e,Directed,3571,,1
53e997f4b7602d9701ff7eaf,53e9b992b7602d970458607f,Directed,3756,,1
53e997f4b7602d9701ff7eaf,53e99ee0b7602d97027ae9ea,Directed,3762,,1
53e997f4b7602d9701ff7eaf,53e9b7eeb7602d970439bbe5,Directed,3764,,1
53e997f4b7602d9701ff7eaf,53e9a609b7602d9702f35f7e,Directed,3770,,1
53e997f5b7602d9701ff8d2f,53e9b6abb7602d970422749e,Directed,3836,,1
53e997f5b7602d9701ffa6ab,53e9a44eb7602d9702d69b33,Directed,3868,,1
53e997f5b7602d9701ffa6ab,53e99937b7602d9702174de5,Directed,3871,,1
53e997f5b7602d9701ffa6ab,53e999b4b7602d97021f8f69,Directed,3872,,1
53e997f5b7602d9701ffa6ab,53e99a68b7602d97022d8ad8,Directed,3874,,1
53e997f5b7602d9701ffa6ab,53e9a0eeb7602d97029d858c,Directed,3881,,1
53e997f5b7602d9701ffa6ab,53e9a154b7602d9702a48bad,Directed,3882,,1
53e997f5b7602d9701ffa6ab,53e9aee4b7602d9703910c10,Directed,3892,,1
53e997f5b7602d9701ffa6ab,53e9b043b7602d9703aa5138,Directed,3895,,1
53e997f5b7602d9701ffa6ab,53e9b1b6b7602d9703c44282,Directed,3897,,1
53e997f5b7602d9701ffa6ab,53e9b5c8b7602d970410ff0a,Directed,3900,,1
53e997f5b7602d9701ffa6ab,53e9baa7b7602d97046d60ef,Directed,3906,,1
53e997f5b7602d9701ffa6ab,53e9bc53b7602d97048cc291,Directed,3913,,1
53e997f5b7602d9701ffa6ab,53e9bc6eb7602d97048e8876,Directed,3914,,1
53e997f5b7602d9701ffa6ab,53e9be4ab7602d9704b05bd9,Directed,3918,,1
53e997f5b7602d9701ffa6ab,573696e56e3b12023e5e4381,Directed,3919,,1
53e99818b7602d9702033e8f,558ab49be4b031bae1f92fbb,Directed,5706,,1
53e99818b7602d9702033e8f,53e99cc9b7602d970257b046,Directed,5744,,1
53e99818b7602d9702033e8f,53e9b7adb7602d970435334e,Directed,5839,,1
53e9981db7602d970203dbe4,53e9a7b3b7602d97030eeff3,Directed,6445,,1
53e99822b7602d9702042e89,53e99a14b7602d9702265cc0,Directed,6852,,1
53e99822b7602d9702042e89,53e99b78b7602d970241f5f5,Directed,6854,,1
53e99822b7602d9702042e89,53e9a1b5b7602d9702aaa217,Directed,6858,,1
53e99822b7602d9702042e89,53e9ab69b7602d970350990d,Directed,6861,,1
53e99822b7602d9702042e89,53e9ae89b7602d97038a74f0,Directed,6864,,1
53e99822b7602d9702042e89,53e9b1afb7602d9703c3ca6f,Directed,6865,,1
53e99822b7602d9702042e89,53e9b5bcb7602d9704105198,Directed,6868,,1
53e99822b7602d9702042e89,53e9b968b7602d970455503a,Directed,6871,,1
53e99822b7602d9702042e89,53e9b96eb7602d970455bf2d,Directed,6872,,1
53e99822b7602d9702042e89,53e9ba6ab7602d970468bffd,Directed,6873,,1
53e99822b7602d9702042e89,53e99b86b7602d970242fa01,Directed,6879,,1
53e99822b7602d9702043329,53e9b5afb7602d97040f861c,Directed,6882,,1
53e99822b7602d97020455b7,53e9abfeb7602d97035bed19,Directed,7020,,1
53e99827b7602d9702046f0d,53e9ba60b7602d9704678327,Directed,7086,,1
53e9982cb7602d9702050737,53e9a8f9b7602d970324b926,Directed,7262,,1
53e9982cb7602d9702050737,53e9a97bb7602d97032d5f56,Directed,7263,,1
53e9982cb7602d9702051c0c,53e99b16b7602d97023a9915,Directed,7291,,1
53e9982cb7602d9702051c0c,53e99c84b7602d9702534001,Directed,7292,,1
53e9982cb7602d9702051c0c,53e9b002b7602d9703a5835d,Directed,7294,,1
53e99832b7602d9702055216,53e99832b7602d9702055216,Directed,7491,,1
53e99833b7602d9702059db1,53e9bc74b7602d97048f4c63,Directed,7606,,1
53e9983db7602d9702064011,53e9b116b7602d9703b98417,Directed,7883,,1
53e9983db7602d9702065035,53e99ff0b7602d97028d11f4,Directed,7937,,1
53e99842b7602d9702071232,53e99b16b7602d97023abb68,Directed,8199,,1
53e99842b7602d9702071232,53e9b360b7602d9703e3bc9b,Directed,8240,,1
53e99842b7602d9702071232,53e9b917b7602d97044fd2a7,Directed,8249,,1
53e99846b7602d970207519d,53e9b51bb7602d970404d2ac,Directed,8342,,1
53e99846b7602d970207844c,53e9bbeab7602d9704843a27,Directed,8399,,1
53e9984bb7602d970207cc09,53e99d4cb7602d9702603f23,Directed,8570,,1
53e9984bb7602d970207cc09,53e9a1a8b7602d9702a9a9eb,Directed,8580,,1
53e9984bb7602d970207cc09,53e9a75fb7602d9703094cd6,Directed,8591,,1
53e9984bb7602d970207cc09,53e9aca1b7602d9703679d58,Directed,8602,,1
53e9984bb7602d970207cc09,53e9ae63b7602d970387dcfa,Directed,8604,,1
53e9984bb7602d970207cc09,53e9aff5b7602d9703a4ce67,Directed,8609,,1
